screen,figma,scenario,ssim,psnr
06-city-selection,6. 금액 가이드가 주어졌지만 직접 설정할 수 있는 화면.png,mission-selection,0.6767,12.74
07-city-creation,7. 금액 가이드가 주어졌지만 직접 설정할 수 있는 화면.png,mission-creation,0.7393,14.26
